latitude,longitude,site,landcover
-18.144177345817607,33.03896098121541,Catandica,Light vegetation
-18.87773202983533,32.96763624767402,Manica,Light vegetation
-18.873847893091888,32.98971105345661,Manica,Light vegetation
-24.551685030465848,33.093313368929664,Chokwe,Cropland irrigated 1
-24.547014221474647,33.09147216982033,Chokwe,Cropland irrigated 1
-24.54686858233327,33.08744609832597,Chokwe,Cropland irrigated 1
-24.568600946948266,33.0712206583035,Chokwe,Cropland irrigated 1
-24.570128201048153,33.07151244455982,Chokwe,Cropland irrigated 1
-24.601128018772787,33.092109869295,Chokwe,Cropland irrigated 1
-24.61092979362884,33.100600803383784,Chokwe,Cropland irrigated 1
-24.59992969490186,33.090214269356,Chokwe,Cropland irrigated 1
-24.66571276266435,33.03664462810723,Chokwe,Cropland irrigated 1
-24.66127867091284,33.04518292552583,Chokwe,Cropland irrigated 1
-24.668188854868454,33.03703130663842,Chokwe,Cropland irrigated 1
-24.664370830046646,33.03315766993514,Chokwe,Cropland irrigated 1
-24.66227774856829,33.03218742912043,Chokwe,Cropland irrigated 1
-24.43646936296062,32.892238147656414,Chokwe,Cropland irrigated 1
-24.437496345295457,32.893459246507774,Chokwe,Cropland irrigated 1
-18.868081773139785,33.005582867936866,Manica,Dense vegetation
-18.970632798736624,33.11597795117836,Manica,Cropland irrigated 1
-18.06575977767267,33.15948267044781,Catandica,Cropland irrigated 1
-18.066137604592814,33.15949192149652,Catandica,Cropland irrigated 1
-18.916811332129747,33.13124607355728,Manica,Cropland irrigated 1
-18.915712291057748,33.120233851292305,Manica,Cropland irrigated 1
-18.915309127828525,33.12051645618681,Manica,Cropland irrigated 1
-24.470873275336192,32.931999812066614,Chokwe,Cropland irrigated 1
-24.474100394947808,32.93382731320827,Chokwe,Cropland irrigated 1
-24.47506889317647,32.94065239031793,Chokwe,Cropland irrigated 1
-24.46920329437409,32.94693928648618,Chokwe,Cropland irrigated 1
-24.470259329897424,32.94869830697362,Chokwe,Cropland irrigated 1
-24.46699032952553,32.94453545160883,Chokwe,Cropland irrigated 1
-24.468415864439446,32.94207362300856,Chokwe,Cropland irrigated 1
-24.490823880968218,32.97685893292923,Chokwe,Cropland irrigated 1
-24.488857437364803,32.9602936350457,Chokwe,Cropland irrigated 1
-24.490998219522254,32.98028058219782,Chokwe,Cropland irrigated 1
-24.485510041001604,32.96121682436578,Chokwe,Cropland irrigated 1
-24.489951318700218,32.898774477956756,Chokwe,Cropland irrigated 1
-19.01815051044636,33.14884439541287,Manica,Cropland irrigated 1
-24.575698562278625,33.062771746279886,Chokwe,Cropland irrigated 1
-24.572535172432488,33.069383343370724,Chokwe,Cropland irrigated 1
-18.11911847364045,33.29689292619969,Catandica,Building
-24.53861866575035,32.99363812483472,Chokwe,Building
-24.549760117776533,33.006966601732785,Chokwe,Building
-24.548670207105623,33.00683565877133,Chokwe,Building
-24.587928415962025,33.06172654838309,Chokwe,Building
-24.53446384130898,33.00136418712069,Chokwe,Building
-24.522884746140498,32.9709272806164,Chokwe,Building
-18.070875755596436,33.17153159412168,Catandica,Building
-18.07082543259359,33.17205966087836,Catandica,Building
-18.072284044436866,33.172412394501265,Catandica,Building
-18.07164505858672,33.172015542567145,Catandica,Building
-18.07171635994423,33.174692612142465,Catandica,Building
-18.05588292678251,33.17419784536792,Catandica,Building
-18.054595641612565,33.17082239727082,Catandica,Building
-18.99028217255677,33.0811265619778,Manica,Building
-18.987479928988147,33.083099574289726,Manica,Building
-18.98309757930823,33.07167167021706,Manica,Building
-18.98403096818156,33.07257327802747,Manica,Building
-24.531188348494037,32.99842214143385,Chokwe,Building
-24.529647974698854,32.9959509385814,Chokwe,Building
-24.52312257451348,32.961855026531104,Chokwe,Building
-18.841834682662835,33.278203598539044,Manica,Water
-18.984987737963948,33.05030192086777,Manica,Water
-18.977109236627093,33.05279174721521,Manica,Water
-18.99262459847915,33.051107764795944,Manica,Water
-24.47996009704249,32.99237029379946,Chokwe,Water
-19.033749949500706,33.05391295868612,Manica,Water
-19.04358686599787,33.06864684504498,Manica,Water
-19.025063677591618,33.08104650902599,Manica,Water
-19.007830479582672,33.09318424355912,Manica,Water
-24.406791306793384,32.876336064997176,Chokwe,Water
-24.400740009559957,32.86967876589399,Chokwe,Water
-24.423497453214672,32.85346290262392,Chokwe,Water
-24.416232341459697,32.838444094621146,,Cropland irrigated 2
-24.42012643605194,32.86006319424456,Chokwe,Cropland irrigated 2
-24.40942454147086,32.86464608762955,Chokwe,Cropland irrigated 2
-24.40715502101541,32.86520688772292,Chokwe,Cropland irrigated 2
-24.40451348049974,32.862562718997,Chokwe,Cropland irrigated 2
-24.394824471077534,32.861057006519744,,Cropland irrigated 2
-24.39217866003595,32.85810502251447,,Cropland irrigated 2
-24.417656644163333,32.87693782605315,Chokwe,Cropland irrigated 2
-24.419732809375837,32.86841627871197,Chokwe,Cropland irrigated 2
-24.447602140141626,32.86240971232776,Chokwe,Cropland irrigated 2
